
file name: Complete.txt
date: 08-Aug-2017
nobs = 8482,  ngood = 7275,  record length (days) = 353.42
start time: 01-Jan-2014
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= 1.48, x trend= 0

var(x)= 0.13651   var(xp)= 0.12696   var(xres)= 0.0098799
percent var predicted/var original= 93.0 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
 SSA  0.0002282    0.0394    0.043   159.81    66.32     0.83
 MSM  0.0013098    0.0167    0.029   329.18   128.88     0.34
 MM   0.0015122    0.0065    0.030   111.17   210.48    0.047
 MSF  0.0028219    0.0099    0.028   155.75   198.18     0.13
 MF   0.0030501    0.0136    0.029    24.42   136.42     0.22
 ALP1 0.0343966    0.0031    0.004   100.99   108.10     0.54
*2Q1  0.0357064    0.0073    0.005   160.59    42.61      2.2
*SIG1 0.0359087    0.0093    0.005   140.34    30.88      3.4
*Q1   0.0372185    0.0467    0.004   154.12     5.76  1.1e+02
*RHO1 0.0374209    0.0071    0.004   146.78    38.11      2.6
*O1   0.0387307    0.2073    0.005   159.19     1.32    2e+03
 TAU1 0.0389588    0.0036    0.003   128.57    49.06      1.6
 BET1 0.0400404    0.0025    0.005    48.46   104.31     0.31
*NO1  0.0402686    0.0156    0.002   152.87    10.06       45
 CHI1 0.0404710    0.0049    0.005   150.35    63.85     0.97
*P1   0.0415526    0.1032    0.004   174.21     2.32  7.6e+02
*K1   0.0417807    0.3329    0.005   178.12     0.79  5.4e+03
*PHI1 0.0420089    0.0081    0.004   279.02    30.71      4.3
 THE1 0.0430905    0.0025    0.004   103.21    93.22     0.49
*J1   0.0432929    0.0186    0.005   216.48    14.42       12
 SO1  0.0446027    0.0037    0.004   300.64    76.91     0.82
*OO1  0.0448308    0.0108    0.006   229.09    33.80        3
 UPS1 0.0463430    0.0026    0.005   249.87   142.43     0.26
 OQ2  0.0759749    0.0026    0.004    54.20   103.65     0.52
 EPS2 0.0761773    0.0007    0.003    17.43   211.00    0.049
*2N2  0.0774871    0.0092    0.005    70.85    27.16      3.8
 MU2  0.0776895    0.0021    0.004    40.08   126.52     0.31
*N2   0.0789992    0.0616    0.004    80.89     4.57  1.9e+02
*NU2  0.0792016    0.0087    0.005    97.43    29.03      3.3
*M2   0.0805114    0.3067    0.005    99.10     0.73  3.9e+03
*MKS2 0.0807396    0.0149    0.006   216.67    21.47      6.4
*LDA2 0.0818212    0.0071    0.005   143.54    33.51      2.2
 L2   0.0820236    0.0057    0.005    98.73    44.05      1.6
*S2   0.0833333    0.1332    0.005   112.62     2.00  6.8e+02
*K2   0.0835615    0.0321    0.006    95.34    11.70       29
 MSN2 0.0848455    0.0016    0.003   161.95   140.91     0.21
 ETA2 0.0850736    0.0016    0.005   153.73   187.82      0.1
*MO3  0.1192421    0.0024    0.001    53.82    30.06      3.1
*M3   0.1207671    0.0035    0.001   106.74    18.56       12
*SO3  0.1220640    0.0032    0.001   194.59    23.79      5.4
*MK3  0.1222921    0.0033    0.001   160.33    21.37      7.4
*SK3  0.1251141    0.0031    0.001   117.58    24.87      5.9
*MN4  0.1595106    0.0017    0.001   148.82    36.09      2.1
*M4   0.1610228    0.0041    0.001   180.27    16.04      7.9
 SN4  0.1623326    0.0017    0.001   284.40    38.79      1.5
*MS4  0.1638447    0.0039    0.001   275.08    18.79      7.4
 MK4  0.1640729    0.0024    0.002   264.18    42.42      1.5
*S4   0.1666667    0.0024    0.001   333.40    32.50      3.8
 SK4  0.1668948    0.0015    0.002   104.90    66.74     0.92
*2MK5 0.2028035    0.0025    0.001   111.22    23.01      8.9
 2SK5 0.2084474    0.0010    0.001    42.79    63.67     0.87
*2MN6 0.2400221    0.0010    0.001   201.62    42.62      2.9
*M6   0.2415342    0.0015    0.001   219.67    28.35        4
 2MS6 0.2443561    0.0011    0.001   298.73    41.23      1.9
*2MK6 0.2445843    0.0014    0.001   308.44    40.06      2.7
 2SM6 0.2471781    0.0006    0.001   345.63    74.30     0.63
 MSK6 0.2474062    0.0008    0.001    15.28    68.85     0.76
 3MK7 0.2833149    0.0002    0.000   342.88   127.18     0.37
 M8   0.3220456    0.0003    0.000   235.82    62.81      1.2
