
file name: Complete.txt
date: 05-Aug-2017
nobs = 6122,  ngood = 6121,  record length (days) = 255.08
start time: 01-Jan-2014
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= 1.66, x trend= 0

var(x)= 0.77966   var(xp)= 0.19684   var(xres)= 0.57738
percent var predicted/var original= 25.2 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
 SSA  0.0002282    0.0403    0.035   330.21    50.21      1.4
 MSM  0.0013098    0.0087    0.023   103.59   165.07     0.14
 MM   0.0015122    0.0076    0.025    48.19   172.84    0.093
 MSF  0.0028219    0.0465    0.033   328.44    41.72      1.9
 MF   0.0030501    0.0042    0.023    62.25   253.51    0.035
 ALP1 0.0343966    0.0334    0.057    20.09   106.51     0.34
 2Q1  0.0357064    0.0376    0.060    33.40    90.54     0.39
 SIG1 0.0359087    0.0057    0.040   249.52   232.68    0.021
 Q1   0.0372185    0.0054    0.039   195.98   220.97    0.018
 RHO1 0.0374209    0.0265    0.039    17.93   110.48     0.45
 O1   0.0387307    0.0226    0.044   312.82   123.19     0.27
 TAU1 0.0389588    0.0233    0.030   238.65    86.11     0.61
 BET1 0.0400404    0.0203    0.040   199.46   154.52     0.26
 NO1  0.0402686    0.0212    0.024   270.16    69.97      0.8
 CHI1 0.0404710    0.0166    0.044   299.32   175.06     0.14
*P1   0.0415526    0.0864    0.052    83.23    30.21      2.8
*K1   0.0417807    0.1853    0.050   273.29    16.24       14
*PHI1 0.0420089    0.0936    0.050    99.81    29.48      3.5
 THE1 0.0430905    0.0315    0.043   198.51    87.89     0.53
 J1   0.0432929    0.0342    0.054   275.82   104.72      0.4
 SO1  0.0446027    0.0483    0.054   316.24    71.26     0.81
 OO1  0.0448308    0.0103    0.053   131.20   202.53    0.037
 UPS1 0.0463430    0.0710    0.095   259.40    67.01     0.56
 OQ2  0.0759749    0.0212    0.071   312.06   187.65    0.088
 EPS2 0.0761773    0.0193    0.063   205.86   183.71    0.094
 2N2  0.0774871    0.0348    0.078   126.66   147.53      0.2
 MU2  0.0776895    0.0380    0.080   254.98   145.19     0.23
 N2   0.0789992    0.1025    0.096    63.53    59.49      1.1
 NU2  0.0792016    0.0238    0.069   130.31   189.83     0.12
*M2   0.0805114    0.4772    0.107    68.93    11.41       20
*MKS2 0.0807396    0.2173    0.109    57.21    34.29        4
 LDA2 0.0818212    0.0459    0.084   158.76   115.82      0.3
 L2   0.0820236    0.0188    0.068   159.41   211.11    0.075
*S2   0.0833333    0.2387    0.113   166.67    26.53      4.5
 K2   0.0835615    0.0690    0.117    84.26   109.66     0.34
 MSN2 0.0848455    0.0347    0.083   135.58   142.47     0.18
 ETA2 0.0850736    0.0063    0.129    98.26   239.70   0.0024
 MO3  0.1192421    0.0290    0.033   180.78    75.27     0.75
 M3   0.1207671    0.0089    0.024   323.03   163.89     0.14
 SO3  0.1220640    0.0133    0.029   300.25   128.26      0.2
 MK3  0.1222921    0.0182    0.028   303.39   101.57     0.44
 SK3  0.1251141    0.0138    0.030   159.25   128.27     0.22
 MN4  0.1595106    0.0101    0.021   191.48   158.20     0.23
 M4   0.1610228    0.0314    0.031   295.85    69.80        1
 SN4  0.1623326    0.0269    0.033    39.85    77.13     0.68
 MS4  0.1638447    0.0426    0.035     5.06    52.20      1.5
*MK4  0.1640729    0.0581    0.041   351.31    55.46        2
 S4   0.1666667    0.0195    0.028   122.21   116.06     0.48
 SK4  0.1668948    0.0284    0.039   100.98   102.62     0.53
 2MK5 0.2028035    0.0284    0.023   357.31    54.76      1.5
 2SK5 0.2084474    0.0105    0.022   115.92   178.53     0.23
 2MN6 0.2400221    0.0194    0.024   325.28    83.72     0.65
 M6   0.2415342    0.0104    0.026    10.55   136.47     0.16
 2MS6 0.2443561    0.0044    0.020    47.18   255.24    0.047
 2MK6 0.2445843    0.0270    0.028    81.64    85.43     0.93
 2SM6 0.2471781    0.0078    0.020   270.49   150.81     0.16
 MSK6 0.2474062    0.0075    0.028    16.91   182.51    0.072
 3MK7 0.2833149    0.0071    0.018   263.90   165.26     0.16
 M8   0.3220456    0.0189    0.020   276.10    69.18     0.89
